rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ax,ay,az,gx,gy,gz,depth
1404240462752262134,,9813,,1404240418,892514944,'',-15980,-32,-1364,-8,-259,-411,10073
1404240462752294978,,9814,,1404240418,916810035,'',-16164,-48,-1468,-25,-267,-423,10063
1404240462819427181,,9815,,1404240418,942672967,'',-15996,88,-1312,-25,-266,-385,10073
1404240462819448122,,9816,,1404240418,965946912,'',-16024,32,-1248,-33,-275,-419,10073
1404240462931291053,,9817,,1404240418,988343000,'',-16040,40,-1288,-4,-250,-406,10079
1404240462931307673,,9818,,1404240419,13176918,'',-16084,60,-1232,-36,-260,-389,10068
1404240462931316307,,9819,,1404240419,37120103,'',-16100,92,-1364,-15,-276,-410,10068
1404240463027454450,,9820,,1404240419,60015916,'',-16116,8,-1348,-3,-259,-416,10063
1404240463027478878,,9821,,1404240419,83447933,'',-15996,-48,-1324,-25,-267,-407,10063
1404240463079814437,,9822,,1404240419,106734991,'',-15976,-32,-1448,-18,-281,-419,10073
1404240463079839126,,9823,,1404240419,131983995,'',-16012,-40,-1324,-9,-245,-413,10068
1404240463079851588,,9824,,1404240419,155721902,'',-16036,8,-1308,-18,-244,-403,10073
1404240463124813601,,9825,,1404240419,178520917,'',-16092,84,-1292,-3,-276,-413,10068
1404240463124849455,,9826,,1404240419,201395988,'',-16072,92,-1400,-10,-273,-406,10079
1404240463177684154,,9827,,1404240419,226325988,'',-16084,32,-1140,-19,-258,-417,10068
1404240463177711520,,9828,,1404240419,250462055,'',-16080,-24,-1348,-22,-248,-414,10068
1404240463177726002,,9829,,1404240419,274843931,'',-16172,-48,-1400,-6,-275,-408,10068
1404240463230528901,,9830,,1404240419,297056913,'',-16104,-48,-1260,8,-265,-415,10073
1404240463230551715,,9831,,1404240419,321028947,'',-16000,16,-1504,-28,-260,-388,10068
1404240463277221990,,9832,,1404240419,346689939,'',-16060,-20,-1424,-18,-246,-414,10068
1404240463277244789,,9833,,1404240419,369369029,'',-16168,48,-1396,-18,-263,-403,10063
1404240463326041374,,9834,,1404240419,392658948,'',-15992,84,-1384,-7,-270,-434,10073
1404240463326075546,,9835,,1404240419,416023969,'',-16124,60,-1480,-7,-265,-424,10073
1404240463326087532,,9836,,1404240419,439594984,'',-16060,28,-1236,-8,-262,-404,10073
1404240463553271624,,9837,,1404240419,462802886,'',-16048,56,-1364,4,-254,-422,10073
1404240463553290052,,9838,,1404240419,486219882,'',-16088,-16,-1372,-28,-259,-427,10073
1404240463553300525,,9839,,1404240419,509664058,'',-16148,16,-1428,-6,-263,-398,10073
1404240463553310700,,9840,,1404240419,533715009,'',-16028,-28,-1384,-6,-267,-407,10073
1404240463553320818,,9841,,1404240419,557470083,'',-16100,28,-1336,-12,-276,-398,10073
1404240463553330892,,9842,,1404240419,579812049,'',-16064,40,-1452,10,-245,-408,10068
1404240463553340915,,9843,,1404240419,603049993,'',-16068,96,-1336,-7,-241,-398,10068
1404240463582530117,,9844,,1404240419,627126932,'',-16076,12,-1344,11,-272,-410,10068
1404240463582559355,,9845,,1404240419,652158975,'',-15980,-24,-1388,-13,-291,-423,10068
1404240463633169351,,9846,,1404240419,675420999,'',-16108,28,-1624,-23,-245,-427,10073
1404240463633186837,,9847,,1404240419,698918104,'',-16128,-20,-1380,-12,-255,-431,10073
1404240463683198280,,9848,,1404240419,722841024,'',-16144,92,-1324,-30,-277,-421,10073
1404240463683219959,,9849,,1404240419,747575998,'',-15980,-32,-1352,-17,-262,-420,10068
1404240463683242068,,9850,,1404240419,772224903,'',-16056,64,-1292,-14,-233,-409,10079
1404240463765494450,,9851,,1404240419,795593976,'',-16084,-44,-1372,-1,-259,-401,10068
1404240463765510550,,9852,,1404240419,819997072,'',-16168,-52,-1400,-18,-249,-406,10073
1404240463820663718,,9853,,1404240419,844149112,'',-16172,68,-1296,-3,-254,-405,10068
1404240463820680866,,9854,,1404240419,866988897,'',-16064,44,-1384,-17,-270,-389,10063
1404240463895370954,,9855,,1404240419,890820026,'',-16016,-4,-1120,-29,-268,-430,10073
1404240463895391838,,9856,,1404240419,913806915,'',-16164,12,-1236,-2,-261,-408,10079
1404240463895403581,,9857,,1404240419,939714908,'',-16172,-56,-1292,-16,-272,-422,10068
1404240463990953921,,9858,,1404240419,961992025,'',-16100,12,-1396,7,-246,-407,10073
1404240463990974439,,9859,,1404240419,984936952,'',-16060,84,-1384,-21,-301,-409,10073
1404240464042325214,,9860,,1404240420,7951974,'',-16020,92,-1192,-37,-246,-411,10063
1404240464042571760,,9861,,1404240420,32075881,'',-16048,8,-1200,-31,-255,-412,10073
1404240464095856401,,9862,,1404240420,56739091,'',-16076,56,-1296,-11,-256,-425,10073
1404240464096769300,,9863,,1404240420,79615116,'',-16080,52,-1316,-28,-269,-417,10068
1404240464097377133,,9864,,1404240420,102571964,'',-16124,-60,-1352,-9,-262,-415,10068
1404240464144186379,,9865,,1404240420,125262975,'',-16056,80,-1420,1,-265,-419,10073
1404240464144479969,,9866,,1404240420,150279998,'',-16084,36,-1376,-24,-229,-404,10073
1404240464271907353,,9867,,1404240420,173810958,'',-16100,-28,-1560,-30,-275,-389,10068
1404240464272026034,,9868,,1404240420,195751905,'',-15964,0,-1416,1,-256,-428,10068
1404240464274481889,,9869,,1404240420,221024036,'',-16076,124,-1380,-34,-276,-418,10073
1404240464274512083,,9870,,1404240420,246680021,'',-16092,-64,-1476,-14,-260,-412,10068
1404240464320490634,,9871,,1404240420,271747112,'',-16052,32,-1320,-9,-276,-406,10068
1404240464320510474,,9872,,1404240420,294831037,'',-16052,32,-1464,-6,-271,-421,10073
1404240464370827911,,9873,,1404240420,319288015,'',-16068,124,-1292,-8,-282,-412,10073
1404240464371102144,,9874,,1404240420,343663930,'',-16064,32,-1156,-18,-268,-426,10073
1404240464420300933,,9875,,1404240420,367295026,'',-16124,16,-1320,-31,-267,-412,10068
1404240464420707505,,9876,,1404240420,390425920,'',-16020,24,-1248,-49,-251,-410,10063
1404240464468069690,,9877,,1404240420,414078950,'',-16220,-24,-1332,-25,-264,-395,10073
1404240464468228143,,9878,,1404240420,438874006,'',-16124,-4,-1348,-15,-272,-413,10063
1404240464468428433,,9879,,1404240420,462956905,'',-15960,-52,-1432,-17,-259,-408,10068
1404240464518912844,,9880,,1404240420,485797882,'',-16192,32,-1312,-6,-251,-408,10057
1404240464519268768,,9881,,1404240420,508863925,'',-15956,108,-1248,-14,-281,-399,10079
1404240464605860033,,9882,,1404240420,531426906,'',-16096,64,-1416,0,-238,-380,10068
1404240464606137316,,9883,,1404240420,556087017,'',-16136,24,-1184,-5,-238,-408,10068
1404240464650923183,,9884,,1404240420,578419923,'',-16000,16,-1392,-3,-294,-403,10073
1404240464651227140,,9885,,1404240420,602066993,'',-16088,-48,-1288,-18,-281,-409,10068
1404240464651493478,,9886,,1404240420,625479936,'',-16132,20,-1424,-35,-253,-427,10073
1404240464699349840,,9887,,1404240420,650932073,'',-16016,-20,-1288,-15,-244,-439,10063
1404240464699766994,,9888,,1404240420,674315929,'',-16132,-84,-1360,-25,-268,-423,10068
1404240464744539438,,9889,,1404240420,698523044,'',-16036,24,-1324,-33,-285,-405,10068
1404240464744912476,,9890,,1404240420,722229957,'',-16076,32,-1248,-12,-281,-415,10063
1404240464793888183,,9891,,1404240420,747725009,'',-16068,-20,-1400,-16,-251,-412,10068
1404240464794125062,,9892,,1404240420,772730112,'',-15992,-40,-1364,-15,-284,-399,10079
1404240464841638447,,9893,,1404240420,796068906,'',-16056,-24,-1244,-3,-248,-432,10068
1404240464841768318,,9894,,1404240420,819107055,'',-16096,-52,-1488,-8,-288,-415,10068
1404240464841999484,,9895,,1404240420,844039916,'',-15988,72,-1292,-19,-272,-407,10073
1404240465019580572,,9896,,1404240420,867863893,'',-16092,56,-1236,-30,-293,-258,10068
1404240465019606806,,9897,,1404240420,890824079,'',-16024,72,-1328,-13,-280,-400,10062
1404240465020037141,,9898,,1404240420,913646936,'',-15960,0,-1324,11,-271,-421,10068
1404240465020172037,,9899,,1404240420,936527013,'',-16068,8,-1228,-35,-267,-417,10079
1404240465020433314,,9900,,1404240420,961492061,'',-15968,-88,-1352,-13,-265,-425,10079
1404240465048670624,,9901,,1404240420,984258890,'',-16004,60,-1280,-32,-256,-410,10068
1404240465048692855,,9902,,1404240421,7726907,'',-16088,-32,-1408,-15,-272,-401,10068
1404240465098647059,,9903,,1404240421,32038927,'',-15920,-60,-1208,-11,-252,-395,10068
1404240465098669463,,9904,,1404240421,55223941,'',-16112,44,-1432,1,-277,-415,10068
1404240465144719614,,9905,,1404240421,78881978,'',-16084,32,-1452,-19,-277,-398,10063
1404240465144742564,,9906,,1404240421,102730989,'',-16016,-24,-1292,-29,-269,-412,10068
1404240465144755275,,9907,,1404240421,125577926,'',-16004,72,-1348,2,-255,-415,10068
1404240465199988541,,9908,,1404240421,151532888,'',-15916,108,-1232,-25,-258,-443,10073
1404240465200003342,,9909,,1404240421,174401044,'',-15992,16,-1236,20,-264,-420,10079
1404240465255275549,,9910,,1404240421,198280096,'',-16152,-36,-1352,-30,-278,-404,10068
1404240465255647691,,9911,,1404240421,221831083,'',-15976,28,-1352,-4,-257,-417,10073
1404240465304651725,,9912,,1404240421,246628046,'',-16164,40,-1328,6,-286,-411,10063
1404240465304850259,,9913,,1404240421,269805908,'',-16028,0,-1292,1,-244,-413,10073
1404240465305164171,,9914,,1404240421,293113946,'',-15988,-28,-1368,6,-242,-404,10073
1404240465390474866,,9915,,1404240421,316354990,'',-16128,160,-1372,-3,-251,-428,10068
1404240465390703005,,9916,,1404240421,339114904,'',-16144,52,-1388,-1,-263,-403,10068
1404240465431373062,,9917,,1404240421,364161014,'',-16040,32,-1380,-25,-254,-414,10068
1404240465431757039,,9918,,1404240421,386864900,'',-16100,-8,-1408,4,-287,-418,10063
1404240465521222373,,9919,,1404240421,410427093,'',-15980,104,-1392,-19,-276,-397,10068
1404240465521245619,,9920,,1404240421,433984994,'',-16036,-44,-1440,-25,-282,-419,10068
1404240465521474937,,9921,,1404240421,457971096,'',-16100,40,-1344,-9,-283,-401,10068
1404240465567373888,,9922,,1404240421,480659961,'',-16140,52,-1312,-4,-268,-417,10073
1404240465567618960,,9923,,1404240421,503150939,'',-15972,-28,-1264,2,-257,-405,10063
1404240465567906224,,9924,,1404240421,527023077,'',-16048,76,-1212,-25,-254,-427,10068
1404240465617303281,,9925,,1404240421,551896095,'',-16044,20,-1392,-26,-273,-399,10068
1404240465617604085,,9926,,1404240421,575203895,'',-16120,20,-1364,-10,-263,-413,10073
1404240465659294121,,9927,,1404240421,597740888,'',-16036,32,-1168,6,-277,-404,10068
1404240465659518447,,9928,,1404240421,620641946,'',-16072,28,-1316,-6,-273,-410,10068
1404240465707561612,,9929,,1404240421,646698951,'',-16036,-24,-1280,-8,-271,-403,10073
