rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ax,ay,az,gx,gy,gz,depth
1404239734985115628,,3475,,1404239689,308733940,'',-56,-78,78,0,0,0,0
1404239734985155666,,3476,,1404239689,338306903,'',-53,-81,77,0,0,0,0
1404239735038826057,,3477,,1404239689,368169069,'',-57,-81,71,0,0,0,0
1404239735038878441,,3478,,1404239689,397962093,'',-56,-84,82,0,0,0,0
1404239735091741850,,3479,,1404239689,427798032,'',-62,-80,76,0,0,0,0
1404239735185842431,,3480,,1404239689,457812070,'',-60,-76,82,0,0,0,0
1404239735185990040,,3481,,1404239689,487253904,'',-58,-84,76,0,0,0,0
1404239735266966583,,3482,,1404239689,516591072,'',-57,-77,77,0,0,0,0
1404239735267198031,,3483,,1404239689,546413898,'',-56,-74,78,0,0,0,0
1404239735320863645,,3484,,1404239689,575721025,'',-60,-80,78,0,0,0,0
1404239735320959807,,3485,,1404239689,605765104,'',-62,-76,72,0,0,0,0
1404239735392580047,,3486,,1404239689,635898113,'',-57,-75,77,0,0,0,0
1404239735392797760,,3487,,1404239689,665747880,'',-55,-79,79,0,0,0,0
1404239735446095693,,3488,,1404239689,695622920,'',-61,-79,75,0,0,0,0
1404239735446299578,,3489,,1404239689,724997043,'',-59,-83,75,0,0,0,0
1404239735500751196,,3490,,1404239689,756181955,'',-61,-77,73,0,0,0,0
1404239735554502107,,3491,,1404239689,785854101,'',-56,-78,80,0,0,0,0
1404239735554578093,,3492,,1404239689,815165996,'',-59,-83,75,0,0,0,0
1404239735618085187,,3493,,1404239689,844708919,'',-57,-79,75,0,0,0,0
1404239735618178146,,3494,,1404239689,874393939,'',-61,-81,75,0,0,0,0
1404239735672218905,,3495,,1404239689,903738975,'',-56,-82,78,0,0,0,0
1404239735672311521,,3496,,1404239689,933337926,'',-59,-79,81,0,0,0,0
1404239735747999786,,3497,,1404239689,962821006,'',-53,-83,81,0,0,0,0
1404239735801940468,,3498,,1404239689,994216918,'',-59,-75,71,0,0,0,0
1404239735802033766,,3499,,1404239690,24379014,'',-55,-75,75,0,0,0,0
1404239735855773489,,3500,,1404239690,55051088,'',-59,-77,75,0,0,0,0
1404239735855845537,,3501,,1404239690,85124969,'',-57,-81,75,0,0,0,0
1404239735910116833,,3502,,1404239690,114455938,'',-64,-82,82,0,0,0,0
1404239735910264647,,3503,,1404239690,143812894,'',-58,-80,78,0,0,0,0
1404239735963100747,,3504,,1404239690,173830032,'',-50,-76,78,0,0,0,0
1404239735963297959,,3505,,1404239690,203219890,'',-59,-77,75,0,0,0,0
1404239736016365055,,3506,,1404239690,233778953,'',-63,-79,73,0,0,0,0
1404239736098245675,,3507,,1404239690,263433933,'',-55,-75,73,0,0,0,0
1404239736098413878,,3508,,1404239690,293380975,'',-55,-77,71,0,0,0,0
1404239736151963300,,3509,,1404239690,323040962,'',-57,-85,77,0,0,0,0
1404239736152222332,,3510,,1404239690,352340936,'',-56,-86,80,0,0,0,0
1404239736210064616,,3511,,1404239690,382575035,'',-52,-78,74,0,0,0,0
1404239736210364807,,3512,,1404239690,412209033,'',-56,-82,74,0,0,0,0
1404239736257945362,,3513,,1404239690,441485881,'',-58,-78,78,0,0,0,0
1404239736311364050,,3514,,1404239690,471613883,'',-58,-82,74,0,0,0,0
1404239736311642695,,3515,,1404239690,501667022,'',-54,-82,78,0,0,0,0
1404239736365731924,,3516,,1404239690,531528949,'',-59,-81,79,0,0,0,0
1404239736365990201,,3517,,1404239690,562510013,'',-58,-74,76,0,0,0,0
1404239736420585425,,3518,,1404239690,591950893,'',-54,-80,76,0,0,0,0
1404239736420855391,,3519,,1404239690,621536970,'',-64,-82,76,0,0,0,0
1404239736472789859,,3520,,1404239690,651155948,'',-56,-84,76,0,0,0,0
1404239736535969862,,3521,,1404239690,681627035,'',-54,-82,72,0,0,0,0
1404239736536271723,,3522,,1404239690,711391925,'',-56,-84,80,0,0,0,0
